陈生👈👉制作,#genre#
💯点歌台1,http://zzy789.xyz/douyu1.php?id=3186217
💯点歌台2,http://zzy789.xyz/douyu1.php?id=3870925
💯秋水剪月,http://zzy789.xyz/douyu1.php?id=9588891
🇭🇰港澳彩,#genre#
香港六合彩开奖,https://vdm6-ali.wujiekeji1.com/live/h6-2.flv#https://vdm6-hw.nbgdsygs.com/live/h6-2.flv
备用香港21:30四九,rtmp://100www.ku55.cn/zzjj123/livekj123?auth_key=2299702236-0-0-4d409d8bca97ea5ff8fd9cf763129ac1
🇲🇴新澳21:30四九,https://play666.macau-lhc.live/live/mosixmark.flv
测试新澳21:31一三,https://play666.macau-lhc.live/live/mosixmark.flv
测试新澳21:31一七,https://play888.00853lhc.live/live/mosixmark.flv
测试新澳21:31三三,https://play888.00853lhc.live/live/mosixmark.flv?t=1710336821937
🇲🇴老澳21:32,https://vdm6-hw.qunleniuniu.com/live/2032-2.flv
老澳21:32官方,https://vdm6-ali.oujinghb.com/live/2032-2.flv
🇨🇳广东汕头,#genre#
汕头🏅综合高清,http://113.117.104.170:8800/rtp/239.77.1.130:5146
汕头🏅综合高清,http://113.117.104.170:8800/rtp/239.253.43.45:5146
汕头🏅经济生活高清,http://113.117.104.170:8800/rtp/239.77.1.131:5146
汕头🏅经济生活高清,http://113.117.104.170:8800/rtp/239.253.43.46:5146
汕头🏅文旅体育高清,http://113.117.104.170:8800/rtp/239.77.1.132:5146
汕头🏅文旅体育高清,http://113.117.104.170:8800/rtp/239.253.43.47:5146
潮州🏅综合高清,http://113.117.104.170:8800/rtp/239.253.43.70:5146
潮州🏅民生高清,http://113.117.104.170:8800/rtp/239.253.43.75:5146
揭阳🏅综合高清,http://113.117.104.170:8800/rtp/239.77.0.229:5146
揭阳🏅生活高清,http://113.117.104.170:8800/rtp/239.77.0.251:5146
大湾🏅区卫视,http://120.77.28.4:8648/mgu.php?id=dwqws
广东 🏅卫视,http://ygbh.live/aikmigu.php?id=gdws#http://diyp.uk.to/zb/1725695663.php?id=gdws#http://120.224.178.16:9901/tsfile/live/0142_1.m3u8#http://60.223.224.176:8888/newlive/live/hls/20/live.m3u8
广州🏅新闻,http://php.jdshipin.com:8880/gztv.php?id=xinwen
广东🏅珠江,http://mom.coms.hk:9901/tsfile/live/1007_1.m3u8
广东🏅新闻,http://mom.coms.hk:9901/tsfile/live/1008_1.m3u8
广州 🏅综合,http://php.jdshipin.com:8880/gztv.php?id=zhonghe
广州 🏅竞赛,http://php.jdshipin.com:8880/gztv.php?id=jingsai
广州 🏅影视,http://php.jdshipin.com:8880/gztv.php?id=yingshi
广州 🏅法治,http://php.jdshipin.com:8880/gztv.php?id=fazhi
广州 🏅南国都市,http://php.jdshipin.com:8880/gztv.php?id=shenghuo
深圳🏅卫视高清,http://www.dsmcloud.top:8888/udp/239.81.0.103:4056#http://www.dsmcloud.top:8888/udp/239.81.1.27:4056
🇨🇳央视频道,#genre#
CCTV1💯综合,http://120.77.28.4:8648/mgu.php?id=cctv1#http://diyp.uk.to/zb/1725695663.php?id=cctv1#http://gejianhua.7766.org:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2💯财经,http://120.77.28.4:8648/mgu.php?id=cctv2#http://gejianhua.7766.org:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3💯综艺,http://120.77.28.4:8648/mgu.php?id=cctv3#http://gejianhua.7766.org:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4 💯国际,http://120.77.28.4:8648/mgu.php?id=cctv4#http://gejianhua.7766.org:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV- 5💯体育,http://ygbh.live/aikmigu.php?id=cctv5#http://diyp.uk.to/zb/1725695663.php?id=cctv5#http://120.224.178.16:9901/tsfile/live/0005_1.m3u8
CCTV5+💯体育,http://ygbh.live/aikmigu.php?id=cctv5p#http://148.135.93.213:81/live.php?id=CCTV5p#http://gejianhua.7766.org:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6💯电影频道,http://mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8#http://148.135.93.213:81/live.php?id=CCTV6#http://gejianhua.7766.org:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7💯军农,http://148.135.93.213:81/live.php?id=CCTV7#http://gejianhua.7766.org:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8-💯电视剧,http://148.135.93.213:81/live.php?id=CCTV8#http://gejianhua.7766.org:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9💯记录,http://148.135.93.213:81/live.php?id=CCTV9#http://gejianhua.7766.org:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10💯科教,http://148.135.93.213:81/live.php?id=CCTV10#http://gejianhua.7766.org:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11💯戏曲,http://148.135.93.213:81/live.php?id=CCTV11#http://gejianhua.7766.org:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12💯社会与法,http://148.135.93.213:81/live.php?id=CCTV12#http://gejianhua.7766.org:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
